id,genre,study_family,year,word_count
paper01,A,procedural-comparative,2024,5515
paper02,A,observational,2023,5441
paper03,A,observational,2024,5615
paper04,C,trial-secondary,2024,6823
paper05,A,observational,2024,6092
paper06,C,trial-secondary,2024,6011
paper07,B,diagnostic-imaging,2026,6671
paper08,A,procedural-comparative,2025,7010
paper09,B,diagnostic-imaging,2026,6362
paper10,B,diagnostic-imaging,2023,6801
paper11,B,diagnostic-imaging,2023,6478
paper12,B,diagnostic-imaging,2022,6139
paper13,B,diagnostic-imaging,2022,6177
paper14,B,diagnostic-imaging,2022,6532
paper15,A,observational,2022,5966
paper16,A,observational,2023,6199
paper17,A,observational,2021,4580
paper18,A,observational,2021,5094
paper19,A,observational,2026,7203
paper20,C,trial-secondary,2024,7298
paper21,C,trial,2023,9139
paper22,C,trial,2026,8715
paper23,C,trial-secondary,2023,9558
paper24,C,trial,2025,11604
paper25,C,trial-secondary,2025,9012
paper26,A,procedural-comparative,2025,10772
paper27,C,trial,2022,8344
paper28,C,trial,2023,8543
paper29,C,trial-secondary,2025,8615
paper30,A,observational,2026,6933
paper31,A,procedural-comparative,2023,11136
paper32,C,trial-secondary,2025,9157
